business_name,category,website,google_rating,review_count,phone,address
Aryaas Park Veg Restaurant,South Indian restaurant,,4.0,,090728 63449,"FXQ2+634, Theatre Station Road, near Apollo Dimora & Sreekumar, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
Restaurant Chef Pillai Trivandrum,Indian restaurant,/url?q=http://chefpillai.com/&opi=79508299&sa=U&ved=0ahUKEwi6jriB3byUAxWuUGcHHUaaL70Q61gIFygS&usg=AOvVaw2DCHMyGvQQXFZsB4MW_wVz,4.5,,090729 39090,"Panachamoottil square, near Bypass Road, Enchakkal, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Cafe Jade - All Day Dining (24X7),Coffee shop,/url?q=http://www.hycinthhotels.com/&opi=79508299&sa=U&ved=0ahUKEwjUhtuI3byUAxU8T2wGHQdpOk0Q61gIHSgS&usg=AOvVaw0tZnf9YeiMcMs2oSW3QKcd,4.6,,0471 255 2999,"Manorama Office, Hycinth Hotels, Manorama Rd, near Malayala Manorama, Thampanoor, Thiruvananthapuram, Kerala 695001"
