business_name,category,website,google_rating,review_count,phone,address
Jones Gym Trivandrum,Gym,/url?q=http://jonesgym.in/&opi=79508299&sa=U&ved=0ahUKEwio6aHIwryUAxXF1zgGHUAbGlQQ61gIFygS&usg=AOvVaw15VVIDqNbnmkk7GwsPDpX5,4.9,,082818 22345,"Kowdiar P.O, Devaswom Board Jct, Jn, Nanthancodu, Thiruvananthapuram, Kerala 695003"
Lifetime Unisex Gym,Fitness center,/url?q=https://life-time-gym.web.app/&opi=79508299&sa=U&ved=0ahUKEwj-zrLJwryUAxWh2TgGHXTqN4wQ61gIFygS&usg=AOvVaw3AGlXPp1219DGADMBTqajV,4.9,,085907 18636,"Thennala Building, Sasthamangalam, Pipinmoodu Rd, Sasthamangalam, Thiruvananthapuram, Kerala 695010"
Spartan fitness,Gym,/url?q=https://www.instagram.com/spartanfit_ness/%3Figsh%3DMWtscG5zM3E4dXhnbQ%3D%3D%26utm_source%3Dqr&opi=79508299&sa=U&ved=0ahUKEwjCjczKwryUAxV-1TgGHSXaGoUQ61gIFygS&usg=AOvVaw2IPLCp8LmiA1Q04tjAkK-j,4.9,,080895 50018,"Kazhakkootam, Opposite to cooperation office, Opposite to kseb near, Kazhakkoottam, Kerala 695582"
Lion Gym Vazhuthacaud,Gym,/url?q=http://www.liongym.in/&opi=79508299&sa=U&ved=0ahUKEwit19jLwryUAxU61jgGHYp9BisQ61gIFygS&usg=AOvVaw2vrw2x9iaegOCSrBY8OX_f,4.9,,075590 86732,"3rd and 4th Floor, Lion Gym, Sree Valsam Building (Dianby World, near Kalabhavan Theatre, DPI, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Liger Gym,Gym,,5.0,,,"Second Floor, KSHB Building, opposite traffic Police Station, near SUT Hospital Road, Vrindavan Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
