business_name,category,website,google_rating,review_count,phone,address
Style PLUS,Department store,/url?q=https://www.styleplus.co.in/index.php&opi=79508299&sa=U&ved=0ahUKEwjF15b7_byUAxUfzTgGHZ3vFEIQ61gIFygS&usg=AOvVaw0EG1hNypOqoBO26bk0kjUo,4.2,,094951 10400,"Keston road, Near, Devaswom Board Jct, Kowdiar, Thiruvananthapuram, Kerala 695003"
Ramachandran Textiles,Clothing store,/url?q=http://www.ramachandrantextiles.com/pazhavangadi/&opi=79508299&sa=U&ved=0ahUKEwilt8f8_byUAxWjTGwGHbb7LDkQ61gIFSgQ&usg=AOvVaw3MdCjvHuV3kqX91jRQPaCR,4.0,,088930 99999,"Pazhavangadi St, East Fort, Padma Nagar, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
Variety Mall,Jewelry store,/url?q=http://www.varietymall.in/&opi=79508299&sa=U&ved=0ahUKEwic2Ij__byUAxXKR2wGHbb9KdsQ61gIFSgQ&usg=AOvVaw1HopqQ8AwixxQZPyI2Fnm3,4.1,,0471 247 6896,"General Hospital Rd, Palayam, Thiruvananthapuram, Kerala 695001"
