business_name,category,website,google_rating,review_count,phone,address
i-Cons Technologies,BPO Company,/url?q=https://i-constech.com/&opi=79508299&sa=U&ved=0ahUKEwjyhJ2hpsCUAxXiUGwGHWtIBeMQ61gIFygS&usg=AOvVaw1DL92lewQ2DzyDgOAqH2i0,3.7,,0422 437 4377,"247, Shiv Chambers, Alagesan Rd, Saibaba Mission, Post, Coimbatore, Tamil Nadu 641011"
Global Solutions,Software company,,4.6,,,"206-3, 2nd Floor, 7th Street, Gandhipuram, Tamil Nadu 641012"
BPO Integra India Private Limited,BPO Company,/url?q=https://www.globalintegra.com/&opi=79508299&sa=U&ved=0ahUKEwjTmMGjpsCUAxVQR2wGHWRgNQoQ61gIFygS&usg=AOvVaw3Me0Uujxdq1tltkajbfaHp,3.5,,0422 432 8555,"1st Floor, Kanapathy towers, Deccan Karvel Junction, 43- E3-E6, Sathy Rd, opp. BSNL Exchange, Ganapathy, Coimbatore, Tamil Nadu 641006"
