business_name,category,website,google_rating,review_count,phone,address
MACS Edge | Company Registration in Thiruvananthapuram | Startup Registration | GST Registration | Trademark | Accounting,Business management consultant,/url?q=http://www.macsedge.com/&opi=79508299&sa=U&ved=0ahUKEwiF-Yml0ryUAxXHcGwGHa9CESwQ61gIFygS&usg=AOvVaw34_yKPd3F5Hoegue6w8lAy,4.9,,099953 76233,"Arjuns Arcade, 1st Floor SCNRA B, Lane, Kowdiar, Thiruvananthapuram, Kerala 695003"
Kerala Business Group,Business management consultant,/url?q=http://www.kbgindia.in/&opi=79508299&sa=U&ved=0ahUKEwj5nJam0ryUAxVURWwGHYlRACEQ61gIFygS&usg=AOvVaw0gqQeSt6Fn7gP-8SWaQvnu,4.8,,085939 39336,"3rd floor, Thattil Buildings, Chirakkulam Rd, opp. Sree Padmam Pharma, Statue, Palayam, Thiruvananthapuram, Kerala 695001"
BIZPOLE TRIVANDRUM,Business management consultant,,5.0,,077363 16594,"SANTHI NIVAS, KARAMANA-KILLIPALAM ROAD, near IDBI BANK, PNRA 40, PO, Karamana, Thiruvananthapuram, Kerala 695002"
ECS Business Solutions PVT LTD,Software company,/url?q=http://ecsfin.com/&opi=79508299&sa=U&ved=0ahUKEwjeobGo0ryUAxWATWwGHc_4CGkQ61gIFygS&usg=AOvVaw2LmoyLGSMOigdIhfT7XDYp,4.6,,0471 231 7317,"Daniel Avenue, opp. Police Headquarters, near paramount Studio, Nandavanam, Vellayambalam, Thiruvananthapuram, Kerala 695033"
BRAND PROFILE,Marketing agency,/url?q=https://brandprofile.in/&opi=79508299&sa=U&ved=0ahUKEwiXk7yp0ryUAxUGS3ADHYqXDwMQ61gIFygS&usg=AOvVaw3QoDEpcGA0RewxiAVEB7iX,4.9,,087145 42109,"Mahaneeyam Building, CRA 57, Plamood, Plammoodu, Thiruvananthapuram, Kerala 695004"
