business_name,category,website,google_rating,review_count,phone,address
Travancore Titanium Products Limited,Chemical Manufacturer,/url?q=https://travancoretitanium.com/&opi=79508299&sa=U&ved=0ahUKEwjjxObs_ryUAxUPSmwGHcnzKZsQ61gIFCgP&usg=AOvVaw1JfGvQRKS0Km_YaON8yXEA,4.3,,1800 233 7315,"GW32+2F8, Balanagar, Karikkakam, Thiruvananthapuram, Kerala 695021"
The India Cements Ltd,Cement Manufacturer,/url?q=https://www.indiacements.co.in/&opi=79508299&sa=U&ved=0ahUKEwiA9Lr3_ryUAxVV1jgGHXz0I_QQ61gIFCgP&usg=AOvVaw33ZlDmhXmwZJs4PUPDOALM,5.0,,0471 405 8800,"GW8X+77Q, Plammoodu, Thiruvananthapuram, Kerala 695003"
Fresh N Fine Products (India) Pvt. Ltd,Manufacturer,/url?q=http://www.freshnfine.com/&opi=79508299&sa=U&ved=0ahUKEwjm-tb4_ryUAxVvhGMGHYrOKMgQ61gIFSgQ&usg=AOvVaw3hI2E7LQupijqLXn2d6dku,4.4,,092880 21144,"Kinfra Parks, Thumba, Thiruvananthapuram, Kerala 695586"
