business_name,category,website,google_rating,review_count,phone,address
SP Medifort Hospital,Hospital,/url?q=https://spmediforthospital.com/&opi=79508299&sa=U&ved=0ahUKEwiCtqn__LyUAxWGd2wGHXBBNwAQ61gIEygO&usg=AOvVaw3UWzk_hJxj9RSRNIXWej11,4.8,,0471 310 0100,"Eanchakkal, Thiruvananthapuram, Kerala 695008"
Sree Uthradom Thirunal (SUT) Hospital,Private hospital,/url?q=https://sutpattom.com/&opi=79508299&sa=U&ved=0ahUKEwiTic6A_byUAxUFTGwGHRI6HUwQ61gIFSgQ&usg=AOvVaw0nTmMxa0zDlOKP1bpbLRS1,4.8,,0471 407 7777,"Near, Palace View Rd, Vrindavan Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
GG Hospital,Hospital,/url?q=http://www.gg-hospital.com/&opi=79508299&sa=U&ved=0ahUKEwji25WE_byUAxUOT2wGHeqXCJ4Q61gIFygS&usg=AOvVaw0o__lLbw974hLK3WOOW45R,4.6,,0471 429 9299,"Medical College, Pattom Kumarapuram Rd, Murinjapalam, Thiruvananthapuram, Kerala 695011"
