business_name,category,website,google_rating,review_count,phone,address
Dr Anugra Baburaj Cosmetologist | Skin Care Clinic Trivandrum,Skin care clinic,/url?q=https://www.agelessbydranugra.com/&opi=79508299&sa=U&ved=0ahUKEwjgrL2r_byUAxVRaCoJHTU6M5oQ61gIFygS&usg=AOvVaw1Rr6ttynoqJpZYgjb6CJ_b,4.9,,095674 97556,"Kurishadi Junction, 9/3117/2, Kariyavattom - Chenkottukonam Rd, KK Nagar, Karyavattom, Thiruvananthapuram, Kerala 695581"
Dr. Yogiraj Centre for Dermatology & Cosmetology Hair transplantation,Skin care clinic,/url?q=http://www.ycdc.in/&opi=79508299&sa=U&ved=0ahUKEwjCu5Wu_byUAxWZxDgGHV9FO4EQ61gIFygS&usg=AOvVaw37pVRgyljMK7bABNIFJNoR,4.4,,0471 424 8545,"Kumarapuram Rd, opp. Vydyuthi Bhavan, Pattom, Thiruvananthapuram, Kerala 695004"
Ageless Skin Clinic,Skin care clinic,/url?q=https://agelessbydranugra.com/&opi=79508299&sa=U&ved=0ahUKEwiHsPOw_byUAxUh-jgGHSPHCPwQ61gIFygS&usg=AOvVaw2qx5XgbsI45g3JQZDV3sdY,5.0,,062380 01552,"Ageless Arcade, Kakkanad Ln, Line, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
