business_name,category,website,google_rating,review_count,phone,address
Cafe Jade - All Day Dining (24X7),Coffee shop,/url?q=http://www.hycinthhotels.com/&opi=79508299&sa=U&ved=0ahUKEwij18bX_byUAxW9T2wGHSjsAikQ61gIHSgS&usg=AOvVaw0tGTjhkXZQAuuDZMujjZYe,4.6,,0471 255 2999,"Manorama Office, Hycinth Hotels, Manorama Rd, near Malayala Manorama, Thampanoor, Thiruvananthapuram, Kerala 695001"
Villa Maya,Fine dining restaurant,/url?q=http://www.villamaya.in/&opi=79508299&sa=U&ved=0ahUKEwi7qdbZ_byUAxWVUGcHHdi-M0cQ61gIGCgS&usg=AOvVaw1Vo_8-fAkLeFfvWYcV93F2,4.5,,0471 257 8901,"MUTHOOT SKY CHEF, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Paragon Restaurant,Asian restaurant,/url?q=https://paragonrestaurant.in/&opi=79508299&sa=U&ved=0ahUKEwiZroDb_byUAxX2S2wGHe5FBVcQ61gIHSgS&usg=AOvVaw3GKxg87l3_kzRUOfroIuFi,4.2,,089439 97755,"TC 2, South Indian Bank, 5,OPPO, 44, Ulloor Brg, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
