business_name,category,website,google_rating,review_count,phone,address
Shopalyst Technologies Pvt Ltd,Software company,/url?q=http://www.shopalyst.com/&opi=79508299&sa=U&ved=0ahUKEwj-15C75r2UAxXxSmwGHY0pI1wQ61gIFSgQ&usg=AOvVaw0ZRgPzGpr35jPYKNwrHIfj,4.5,,0471 401 0525,"14/3769, Chalakuzhy Rd, Vivekananda Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Septagon Builders and Developers Pvt Ltd,Real Estate Builders & Construction Company,,4.1,,085940 94081,"2nd Floor, Sophia Building, Infront of Bishop House, P.O, Pattom, Thiruvananthapuram, Kerala 695004"
Preigo Fover Technologies,Website designer,/url?q=https://www.preigo.com/&opi=79508299&sa=U&ved=0ahUKEwjamKjA5r2UAxW2RWwGHbg6IAIQ61gIFygS&usg=AOvVaw3OYzatmulLqoaRZHYPHiE0,4.7,,099955 55722,"1st Floor, Stella Maris, Thoppil Nagar Rd, Krishna Vihar, Kumarapuram, Thiruvananthapuram, Kerala 695011"
