business_name,category,website,google_rating,review_count,phone,address
LuLu Mall Thiruvananthapuram,Shopping mall,/url?q=https://thiruvananthapuram.lulumall.in/&opi=79508299&sa=U&ved=0ahUKEwjevf7T_LyUAxVVWXADHTe_CJIQ61gIFygS&usg=AOvVaw17kkgJnj52ALKDWJX-CtFx,4.6,,0471 277 7777,"Lulu International Shopping Mall Pvt. Ltd TC 91/270, Akkulam Bridge, Anayara Post, Thiruvananthapuram, Kerala 695029"
Variety Mall,Jewelry store,/url?q=http://www.varietymall.in/&opi=79508299&sa=U&ved=0ahUKEwiCjobX_LyUAxWPbWwGHQFlNPoQ61gIFSgQ&usg=AOvVaw0x6erqtXFyfTA52HgwhHC6,4.1,,0471 247 6896,"General Hospital Rd, Palayam, Thiruvananthapuram, Kerala 695001"
Ramachandran Textiles,Clothing store,/url?q=http://www.ramachandrantextiles.com/pazhavangadi/&opi=79508299&sa=U&ved=0ahUKEwiWwt3Z_LyUAxWES2wGHUVzLAoQ61gIFSgQ&usg=AOvVaw1Z9SEwWMSeA9-VGdsa3EQo,4.0,,088930 99999,"Pazhavangadi St, East Fort, Padma Nagar, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
