business_name,category,website,google_rating,review_count,phone,address
Villa Maya,Fine dining restaurant,/url?q=http://www.villamaya.in/&opi=79508299&sa=U&ved=0ahUKEwi-i9ix3byUAxXvTWwGHRruAZQQ61gIGCgS&usg=AOvVaw2Z8_G2-PpmjEC1xo_PpYOA,4.5,,0471 257 8901,"MUTHOOT SKY CHEF, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Paragon Restaurant,Asian restaurant,/url?q=https://paragonrestaurant.in/&opi=79508299&sa=U&ved=0ahUKEwifiOWy3byUAxUcRmwGHcTIN8QQ61gIHSgS&usg=AOvVaw2dHmqQO-BN_9KPvivrEZwz,4.2,,089439 97755,"TC 2, South Indian Bank, 5,OPPO, 44, Ulloor Brg, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Aryaas Park Veg Restaurant,South Indian restaurant,,4.0,,090728 63449,"FXQ2+634, Theatre Station Road, near Apollo Dimora & Sreekumar, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
