business_name,category,website,google_rating,review_count,phone,address
Dr. Yogiraj Centre for Dermatology & Cosmetology Hair transplantation,Skin care clinic,/url?q=http://www.ycdc.in/&opi=79508299&sa=U&ved=0ahUKEwi2lJ7_3LyUAxUySmwGHalUFfwQ61gIFygS&usg=AOvVaw1J3B06e_ght2Dwi7qPJO5o,4.4,,0471 424 8545,"Kumarapuram Rd, opp. Vydyuthi Bhavan, Pattom, Thiruvananthapuram, Kerala 695004"
Dr.Nathanis Diagnostic Clinic,Diagnostic center,,4.4,,087149 10122,"TC 17/3530- 1, Chalakuzhy Rd, Pattom, Thiruvananthapuram, Kerala 695004"
"Therefore I'm Trivandrum - Best Skin, Body & Hair Clinic in Trivandrum",Skin care clinic,/url?q=https://thereforeim.in/&opi=79508299&sa=U&ved=0ahUKEwjG_YuD3byUAxVYTWcHHdFgPSMQ61gIFygS&usg=AOvVaw0H1kGEVTfUx_T-eiBc1xGx,4.9,,090723 44011,"Ground Floor, UNISPACE, Pattom - Kowdiar Rd, Kuravankonam, Thiruvananthapuram, Kerala 695003"
