business_name,category,website,google_rating,review_count,phone,address
RCD HR SOLUTIONS,Employment consultant,,4.8,,099469 41122,"Akkulam, Ulloor - Akkulam Rd, Thiruvananthapuram, Kerala 695011"
"Worldstar Enterprises, Trivandrum jobs",Unemployment office,/url?q=http://www.fb.me/jobworldstar.tvm&opi=79508299&sa=U&ved=0ahUKEwiPqOiG9LyUAxXmTWwGHWAVI84Q61gIFygS&usg=AOvVaw1QfxJMDureo77YAz_wRp5P,4.4,,090206 09290,"SS Kovil Rd, opp. Chemist Bhavan, near Ayyappan Kovil, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
Suhail Enterprises,Unemployment office,/url?q=http://www.suhailmanpower.com/&opi=79508299&sa=U&ved=0ahUKEwixhPyH9LyUAxV7SmwGHfJFLbgQ61gIEygO&usg=AOvVaw23nl1SYPlTmN4Eh8zsHYbg,4.5,,0471 257 1970,"Attakulangara, Thiruvananthapuram, Kerala 695009"
Connecting2Work - HR Solutions,Human resource consulting,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwjRkY-J9LyUAxXETGwGHW9CNQYQ61gIEygO&usg=AOvVaw2atf244_Kzd4jXQqlc-wlk,4.8,,0471 401 1026,"(Corp HQ) Opp Kalady Junction Bus Stop ,Karamana, Thiruvananthapuram, Kerala 695002"
Connecting2Work HR Solutions,Human resource consulting,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwjA96eK9LyUAxXq1jgGHSBZHNAQ61gIFygS&usg=AOvVaw1J_crVeruGi6Sc-RpqLO24,4.7,,0471 401 1026,"TC 2/1398 (5) Thulasi Towers, near Techno Park, Pallinada, Kazhakkoottam, Kerala 695582"
"Career Home | Placement Service, Facility Management and Job consultancy",Employment consultant,/url?q=http://careerhometvm.com/&opi=79508299&sa=U&ved=0ahUKEwjQ-M2L9LyUAxV94jgGHUzCKe8Q61gIFygS&usg=AOvVaw1G1ORYvMXNH2EBK3eErnCd,4.7,,095440 97966,"RS Complex, opp. LIC LIC Junction, Pattom, Thiruvananthapuram, Kerala 695004"
Friends Home Nurse Consultancy,Unemployment office,,4.7,,094460 66333,"opp. Narmada Shopping Complex, Toll Junction, Kowdiar, Thiruvananthapuram, Kerala 695003"
JOBS 'n TA HR Services,Employment agency,/url?q=http://www.jobsnta.com/&opi=79508299&sa=U&ved=0ahUKEwjl1pn_87yUAxWUcGwGHV3mISYQ61gInAIoEQ&usg=AOvVaw3tr95bXmMi9wjSj2E2uefE,3.6,,077360 65911,"Roshni, TC 4/250-1, Gnra-12, Opp SNDP Office, PO, Kuravankonam Ambalamukku Rd, Kowdiar, Thiruvananthapuram, Kerala 695003"
New Belief Overseas Recruitment services Pvt.Ltd,Recruiter,/url?q=https://newbelief.co.in/&opi=79508299&sa=U&ved=0ahUKEwjq2_Wi9LyUAxVOxDgGHXuAAaoQ61gIFygS&usg=AOvVaw3opTas042cJzOogp8axqew,4.3,,073066 86936,"First Floor, Mikasa Square, TC – 6/741, near Sreedevi Lab And Scans, Ulloor, Kochulloor, Ulloor, Thiruvananthapuram, Kerala 695011"
Career world jobs,Employment agency,,4.2,,070123 88928,"Scp buildings East, Thampanoor, Thiruvananthapuram, Kerala 695001"
Chinmaya Jobs & Travel services,Travel agency,,4.9,,088913 27540,"TC 16/1657,CRYOGENICS, JUNCTION, opposite MUTHOOT FINCORP, DPI, Jagathy, Thiruvananthapuram, Kerala 695014"
Dial A Job,Employment consultant,,3.3,,096050 12124,"4th floor, Statue, Opposite Secretariat, Palayam, Thiruvananthapuram, Kerala 695001"
