business_name,category,website,google_rating,review_count,phone,address
"Worldstar Enterprises, Trivandrum jobs",Unemployment office,/url?q=http://www.fb.me/jobworldstar.tvm&opi=79508299&sa=U&ved=0ahUKEwja6NiV3ryUAxWwUGcHHb1sDNoQ61gIFygS&usg=AOvVaw22W6jVG20NOAyPW_lVRoph,4.4,,090206 09290,"SS Kovil Rd, opp. Chemist Bhavan, near Ayyappan Kovil, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
RCD HR SOLUTIONS,Recruiter,,4.8,,099469 41122,"Akkulam, Ulloor - Akkulam Rd, Thiruvananthapuram, Kerala 695011"
Connecting2Work HR Solutions,Human resource consulting,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwinztKg3ryUAxWAR2wGHe4MPS0Q61gIFygS&usg=AOvVaw13jOyrRWqijX6hJu0UYuds,4.7,,0471 401 1026,"TC 2/1398 (5) Thulasi Towers, near Techno Park, Pallinada, Kazhakkoottam, Kerala 695582"
