business_name,category,website,google_rating,review_count,phone,address
"Worldstar Enterprises, Trivandrum jobs",Unemployment office,/url?q=http://www.fb.me/jobworldstar.tvm&opi=79508299&sa=U&ved=0ahUKEwii-8HH3byUAxUSRWcHHeJ_MmMQ61gIFygS&usg=AOvVaw3RIdl0Jr6_lWhiAMUydQjk,4.4,,090206 09290,"SS Kovil Rd, opp. Chemist Bhavan, near Ayyappan Kovil, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
RCD HR SOLUTIONS,Employment consultant,,4.8,,099469 41122,"Akkulam, Ulloor - Akkulam Rd, Thiruvananthapuram, Kerala 695011"
Connecting2Work HR Solutions,Human resource consulting,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwit9NbR3byUAxX6UGwGHRm2FpwQ61gIFygS&usg=AOvVaw3EbHmrUc4TK9aS1fqbETvf,4.7,,0471 401 1026,"TC 2/1398 (5) Thulasi Towers, near Techno Park, Pallinada, Kazhakkoottam, Kerala 695582"
