business_name,category,website,google_rating,review_count,phone,address
SP Medifort Hospital,Hospital,/url?q=https://spmediforthospital.com/&opi=79508299&sa=U&ved=0ahUKEwiu1Lqz3LyUAxUcQ2cHHW8ZGRcQ61gIEygO&usg=AOvVaw3c3dcYRjdaqKxbh4UjgOo9,4.8,,0471 310 0100,"Eanchakkal, Thiruvananthapuram, Kerala 695008"
Sree Uthradom Thirunal (SUT) Hospital,Private hospital,/url?q=https://sutpattom.com/&opi=79508299&sa=U&ved=0ahUKEwi418y03LyUAxUKa2wGHUksMxwQ61gIFSgQ&usg=AOvVaw16ZazGq9GJ9bXdHKH_28yv,4.8,,0471 407 7777,"Near, Palace View Rd, Vrindavan Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
