business_name,category,website,google_rating,review_count,phone,address
Prisma Store,Clothing store,/url?q=https://myprisma.in/&opi=79508299&sa=U&ved=0ahUKEwiXvcX3_byUAxW-WGwGHeBqIOYQ61gIFygS&usg=AOvVaw1eB_kLpH7ZdyT16FY6XWUk,4.5,,090875 35419,"Tc 2/3578, Lalitham, Opp Petrol Pump, Kesavadasapuram, near Bata Showrom, Post, Pattom, Kerala 695004"
Basics Life. Trivandrum,Men's clothing store,,4.9,,0471 401 8484,"Kesari Memorial Building, JN, Mahatma Gandhi Rd, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Oxygen Digital Shop - Pattom,Electronics store,/url?q=https://oxygendigitalshop.com/location/mobile-laptop-shop-pattom.html%3Futm_source%3DGMB%26utm_medium%3Dorganic&opi=79508299&sa=U&ved=0ahUKEwio8q-2_ryUAxX6UGwGHRm2FpwQ61gIFygS&usg=AOvVaw32Nf3uyTGXhqq21VWxlBle,4.5,,090726 07503,"2/2422-3, Pattom Palace Rd Penang Tower, opposite Josco Jwellers, Pattom, Thiruvananthapuram, Kerala 695004"
"PETER ENGLAND SHOWROOM- PULIMOODU, THIRUVANANTHAPURAM",Clothing store,/url?q=https://www.peterengland.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dpeter-england-pulimoodu-mg-road-trivandrum%26utm_content%3Dwebsite&opi=79508299&sa=U&ved=0ahUKEwjVo_24_ryUAxXNXGwGHZBpJ4sQ61gIFygS&usg=AOvVaw0jjZ0JPYzR0plqYWy8ekaN,4.2,,0471 405 0039,"TC 26/192, Ground and 1st Floor, Mahatma Gandhi Rd, opp. GPO, Statue, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Allen Solly Store,Clothing store,/url?q=https://www.allensolly.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dallen-solly-mg-road-pulimoodu-trivandrum%26utm_content%3Dwebsite&opi=79508299&sa=U&ved=0ahUKEwjS7Mns_byUAxX1TWcHHWPjDEUQ61gIFygS&usg=AOvVaw30NxtOCxF9GTu2xAYW_ErA,4.3,,0471 401 5656,"No 25, 2451, Mahatma Gandhi Rd, Puthenchanthai, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Decathlon Sports - Trivandrum,Sporting goods store,/url?q=https://www.decathlon.in/store/trivandrum&opi=79508299&sa=U&ved=0ahUKEwjUo5bq_ryUAxV3TmwGHbnWFh8Q61gIFSgQ&usg=AOvVaw2QFhnfjUmOd52T8TFuGKVA,4.6,,095132 10553,"P T, Ulloor, Chacko Nagar, Kochulloor, Ulloor, Thiruvananthapuram, Kerala 695011"
TRENDS,Clothing store,/url?q=https://trends.shop/page/trends-kowdiar-trivandrum&opi=79508299&sa=U&ved=0ahUKEwjRtLXs_ryUAxXHfGwGHfH4OH4Q61gIFSgQ&usg=AOvVaw0Jc53cBGcPaOfMe0E1AYOf,3.9,,062389 01620,"Devasom Board Junction, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003"
Vinayaka Super Market,Grocery store,/url?q=https://instagram.com/vinayakasupermarket_tvm%3Figshid%3DNGVhN2U2NjQ0Yg%3D%3D&opi=79508299&sa=U&ved=0ahUKEwi8uq79_ryUAxWvS2wGHV8EAYoQ61gIEygO&usg=AOvVaw0elAPEiCOzQrfhqU2Pi2dh,4.3,,094955 40295,"Kalady, Thaliyal, Thiruvananthapuram, Kerala 695002"
MKS Store,Indian grocery store,,4.5,,094471 50526,"Shop No:23, Connemara Market, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695034"
Melel She Square,Grocery store,,3.4,,0471 230 3141,"She Square Building, Oppo to Anadiyil Hospital, Thekkumood Junction, Pattom P.O, Thiruvananthapuram, Kerala 695035"
More Supermarket,Grocery store,/url?q=https://more.in/&opi=79508299&sa=U&ved=0ahUKEwiU3PXV_7yUAxWOSmwGHUfoATMQ61gIFSgQ&usg=AOvVaw2tCJaPGbJ2CokIyXLoL1Yi,3.9,,081081 38000,"General Hospital TC 27/1491, Sabari Heights, Convent Road, General Hospital Jn, Thiruvananthapuram, Kerala 695035"
Balaji Winners Store,Art supply store,,4.3,,0471 232 8673,"Junction, opposite GPO Lane, Statue, Pulimoodu, Thiruvananthapuram, Kerala 695001"
2PAC Kesavadasapuram Junction Trivandrum,Men's clothing store,/url?q=https://www.instagram.com/fashionstore_kesavadasapuram%3Figsh%3DM2htZnRteGc3bDM1%26utm_source%3Dqr&opi=79508299&sa=U&ved=0ahUKEwjbue_a_7yUAxV9S2wGHU_7N44Q61gIFygS&usg=AOvVaw1hzLP-m0mxIHnVAucke9Gz,4.3,,096330 44561,"Kesavadasapuram Jct, near Roundabout, NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Amart Stores & Supermarket,Grocery store,,4.2,,,"P.O, Near Subramanian Swamy temple, Poonthi Rd, Kumarapuram, Thiruvananthapuram, Kerala 695011"
"Van Heusen Men & Women Clothing Store, M.G Road - Trivandrum",Clothing store,/url?q=http://vanheusenindia.com/&opi=79508299&sa=U&ved=0ahUKEwj2wpWGgL2UAxVKZmwGHev8KiwQ61gIFygS&usg=AOvVaw0IWsFMhJJHLYoQc9cXa7rz,4.3,,0471 233 5576,"no: 25/2425, Van Heusen Store, Pulimood Jn, Van Heusen Store no: 25/2425 Van Heusen Store no: 25/2425, Ground Floor Van Heusen Store no: 25/2425, Swastik Centre, no: 25/2425, Mahatma Gandhi Rd, Thiruvananthapuram, Kerala 695001"
PUMA Store,Sportswear store,/url?q=https://store-in.puma.com/puma-store-trivandrum-2-kerala-sports-apparel-pulimoodu-jn-thiruvananthapuram-542182/Home&opi=79508299&sa=U&ved=0ahUKEwi959WPgL2UAxWgV2wGHemnMnwQ61gIFygS&usg=AOvVaw1EH9wPH91DnSOczLBjgV60,4.8,,079 4272 5418,"No Tc 25/198 M G Road, Jn, near General Post Office, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Avenue Centre Shoppe Multi Branded Shopping Complex,Shopping mall,/url?q=http://www.facebook.com/avenuecentreshoppe&opi=79508299&sa=U&ved=0ahUKEwi2tJiSgL2UAxW7SmwGHQSGDVYQ61gIFSgQ&usg=AOvVaw0H2-c43BSJssnO7-58nlMH,4.0,,094470 55396,"SH 1, Mannanthala Junction, Near, Mannanthala, Thiruvananthapuram, Kerala 695015"
RMC MULTISHOPPE SUPERMARKET,Grocery store,,4.3,,080860 32333,"Sreevalssam Tower Near Kalabhavan Theatre, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Chithra Store,Indian grocery store,/url?q=http://www.swiggy.com/genie/chithrastore&opi=79508299&sa=U&ved=0ahUKEwjNhb7K_7yUAxV7aHADHdSeMpgQ61gIFygS&usg=AOvVaw3siBXLhwNVFozU13xp79io,4.0,,088484 89780,"Tc 26, 502(1, Vanross Junction, Statue, Palayam, Thiruvananthapuram, Kerala 695001"
Sahakarana Super Bazaar,Grocery store,,4.6,,,"GX43+CC5, Nandavanam, Palayam, Thiruvananthapuram, Kerala 695033"
"Godrej Interio - Furniture Store in Palayam, Thiruvananthapuram",Furniture store,/url?q=https://stores.godrejinterio.com/godrej-interio-furniture-store-in-palayam-thiruvananthapuram-trivandrum-coco-home-furniture-shop-palayam-thiruvananthapuram-282500/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjaheu8gL2UAxViUGwGHbIEMvYQ61gIFygS&usg=AOvVaw3U_0MGxc4DbXHn4SCU7dLc,4.4,,096195 71351,"St Marys Malankara Building Complex, opposite to Kerala University Library, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695034"
Wildcraft,Bag shop,/url?q=https://stores.wildcraft.com/wildcraft-kesavadasapuram-outdoor-clothing-equipment-store-kesavadasapuram-thiruvananthapuram/Home&opi=79508299&sa=U&ved=0ahUKEwiR0pu_gL2UAxXdTmwGHcRMNOAQ61gIFygS&usg=AOvVaw0M32k8wPoGX9PjP7j1ASvb,4.6,,0471 400 0177,"4518/1, Ocean Outfitters, No. 15, MG Road, near Boots, NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Ananth Store,Stationery store,/url?q=https://www.instagram.com/ananthstore/&opi=79508299&sa=U&ved=0ahUKEwjZnNvHgL2UAxVcUGcHHTGkG9EQ61gIESgM&usg=AOvVaw2IA0O_025XZKPa3EM_rD5o,4.9,,,"Pattom Kumarapuram Rd, Pottakkuzhi, Thiruvananthapuram, Kerala 695004"
SONU Shopping Centre,Supermarket,,4.1,,0471 243 0934,"Kowdiar, Thiruvananthapuram, Kerala 695003"
"Buy 'N' Save margin free Bazaar, trivandrum",Grocery store,,4.2,,075939 31456,"Kazhakuttam Menamkulam Rd, Thiruvananthapuram, Menamkulam, Kerala 695582"
"Ramraj Cotton - Pattom, Thiruvananthapuram",Clothing store,/url?q=https://ramrajcotton.in/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dsulekhapromanage_ramraj_cotton&opi=79508299&sa=U&ved=0ahUKEwiplqWUgb2UAxVC2DgGHZ-_Mr4Q61gIFygS&usg=AOvVaw354Ry2s6P1imdixoKdH7q_,4.2,,081389 99147,"No. 15/3475&15/3476, Pattom - Kowdiar Rd, near Hindustan Petroleum, Pattom, Thiruvananthapuram, Kerala 695004"
Le Panache Trivandrum,Women's clothing store,,4.8,,094870 57633,"Junction, opp. Rahath Hotel, Manacaud, Thiruvananthapuram, Kerala 695009"
kappa,Clothing store,,4.3,,062386 16662,"Mahatma Gandhi Rd, opposite Hotel Azad, Overbridge, Nalumukku, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
Organic India Store,Organic shop,/url?q=https://store.organicindia.com/organic-india/thiruvananthapuram/kowdiar/organic-india-store-in-kowdiar-thiruvananthapuram--98ff5e6d-fcf4-43ca-91e6-3974ba31aa82/home&opi=79508299&sa=U&ved=0ahUKEwjQm5qzgb2UAxU8yDgGHRigIN4Q61gIFygS&usg=AOvVaw2JkWyF3xPq9Jl0gj3nYgU4,4.8,,080 3776 2765,"Vasantham, Pattom - Kowdiar Rd, opposite Azad Bread Factory, Pandits Colony Extension, Kowdiar, Thiruvananthapuram, Kerala 695003"
S.M Stores,Home goods store,,4.3,,092495 52111,"FWJX+VJX, Ruby Nagar Rd, East Fort, Chalai, Thiruvananthapuram, Kerala 695036"
Samsung Experience Store Pattom,Cell phone store,/url?q=https://www.samsungexclusivestores.in/samsung-experience-store-pattom-mobile-phone-shop-pattom-thiruvananthapuram-289903/Home&opi=79508299&sa=U&ved=0ahUKEwiJy7j3_ryUAxXwS3ADHdYfIE8Q61gIFygS&usg=AOvVaw3HiOOqoqpSa-Umw4sA0yqr,4.9,,099954 61040,"TC 15, 3074, Plamoodu - Thekkamoodu Rd, opposite Meditrina Hospital, Pattom, Thiruvananthapuram, Kerala 695004"
Offer Bazaar,Clothing store,,4.5,,079946 25617,"building, Maruthumkuzhi Offer, 02, Bazaar, near Bridge, Vattiyoorkavu, Thiruvananthapuram, Kerala 695030"
Giant Margin Free Store,Grocery store,,3.5,,,"GW8R+W5C, Pattom Kumarapuram Rd, Vrindavan Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
myG Pattom,Electronics store,/url?q=http://www.myg.in/&opi=79508299&sa=U&ved=0ahUKEwjh4_Sxgr2UAxWiV3ADHUQ5K6gQ61gIFygS&usg=AOvVaw2SeOUdqSzLcPErC6PwqBB7,4.1,,073067 79922,"Soudha Manzil Building, Plamoodu - Thekkamoodu Rd, Pattom, Thiruvananthapuram, Kerala 695004"
GRIHA WHOLESALE AND RETAIL,Supermarket,,4.8,,095142 42205,"FW8G+5VW, Valiyathura, Thiruvananthapuram, Kerala 695008"
Fashion Tab,Clothing store,,4.4,,098953 35060,"FWQW+RR5, Over Bridge, Opp. SMV School, Mahatma Gandhi Rd, Thiruvananthapuram, Kerala 695001"
BINARY The Goodlife Store,Spice store,,4.5,,098956 88887,"PKP Manor, Mahatma Gandhi Rd, Puthenchanthai, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Vanaura Organics Store Trivandrum,Beauty supply store,/url?q=https://vanauraorganics.com/&opi=79508299&sa=U&ved=0ahUKEwi_s5G9_ryUAxXScmwGHWybCaMQ61gIsAYoCQ&usg=AOvVaw1D5Seu_oDOLWNyeTC0uuXZ,4.9,,,"NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
"Go Colors - MG Road, Trivandrum | Women's Bottom Wear Store",Clothing store,/url?q=https://gocolors.com/%3Futm_source%3DGoogle%26utm_medium%3DGMB&opi=79508299&sa=U&ved=0ahUKEwjb4P6qg72UAxVZTWwGHbHcNFwQ61gIFygS&usg=AOvVaw3XuiBUDX8CEhSXMVQvy9k_,4.6,,073587 10444,"Saga Tower, 25/235, Saga tower, Pulimoondu junction Road, 81/381, Mahatma Gandhi Rd, near Santha Paint House, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Ethnic Weaves Boutique,Boutique,/url?q=https://www.instagram.com/ethnic.weaves&opi=79508299&sa=U&ved=0ahUKEwit6dGtg72UAxX2UWwGHQjoLiMQ61gIFygS&usg=AOvVaw2RvIBHH4e7UKU57zSrQNpM,4.0,,098460 14489,"Columbia Villa, near Bank of Baroda, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Louis Philippe - Pattom,Clothing store,/url?q=https://content.abfrl.in/store%3FstoreId%3D13779%26brand%3Dlp&opi=79508299&sa=U&ved=0ahUKEwjTg_2yg72UAxV1RmwGHTCYJNMQ61gIFygS&usg=AOvVaw1NQ-oP6ztIM_y1r2YJCuFg,4.3,,0471 401 0294,"Rohini Compound, 2/3246(2) & 2/3244, Road, opp. to LIC Lane, Pattom, Thiruvananthapuram, Kerala 695004"
SM STORE,General store,,4.0,,085472 20441,"GWHQ+9FC, Kailash Nagar, Vivekananda Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
JS CRAFT STORE,Craft store,,4.5,,093834 84294,"First floor, bluebell craft and fancy, Tutors Ln, Statue, Palayam, Thiruvananthapuram, Kerala 695001"
"Pepperfry Kesavadasapuram - Multi Brand Furniture, Mattress & Home Furnishings Shop",Furniture store,/url?q=https://www.pepperfry.com/stores/location/furniture-store-in-kesavadasapuram.html%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjDrL7Gg72UAxWhT2wGHftqG9MQ61gIFygS&usg=AOvVaw1ZBmD7O14gV7JlUZQsw2mJ,4.4,,080 3750 0099,"Ground Floor, Kesavadasapuram-Ulloor Rd, opposite Paragon Hotel, Aiswarya Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
More Supermarket - Marappalam,Grocery store,/url?q=https://more.in/&opi=79508299&sa=U&ved=0ahUKEwjYm_KXg72UAxWs1jgGHTQMG5EQ61gIFygS&usg=AOvVaw10zl3GMasKZzRnwDaDM6Ar,3.8,,081081 38000,"Ground Floor, Marappalam Rd, Pattom, Thiruvananthapuram, Kerala 695003"
Mahadev's Shop 'N' Save,Supermarket,,4.0,,0471 246 0122,"FWMR+9G3, Prasanthi Nagar, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
Lulu Connect,Electronics store,/url?q=https://thiruvananthapuram.lulumall.in/shop/lulu-connect/&opi=79508299&sa=U&ved=0ahUKEwjgyuXchL2UAxUubmwGHXDPJygQ61gIFSgQ&usg=AOvVaw3SPf1gpkfQaHG792P8Rbeq,3.9,,0471 277 7777,"Second Floor, Lulu mall, Kochuveli, Thiruvananthapuram, Kerala 695029"
S S Stores,General store,,4.6,,099950 51836,"82/5782, Kunnumpuram Rd, near ayurveda hospital, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Kerala 695001"
Looms & Weaves,Clothing store,/url?q=https://www.weaveskart.com/&opi=79508299&sa=U&ved=0ahUKEwi0ntfwhL2UAxVrVWwGHdjdNtsQ61gIEygO&usg=AOvVaw0D7bpPrTcdiIXDH888NAPP,4.8,,094460 65205,"NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
"Keerthi Stores, HS Junction, Kachani",Department store,,4.5,,,"TC/34/123,Punnakonam line, High School Junction, Kachani, Thiruvananthapuram, Kerala 695013"
The Haven Supermarket & Apartments,Supermarket,/url?q=https://www.facebook.com/profile.php%3Fid%3D100086715366311&opi=79508299&sa=U&ved=0ahUKEwiq9_27g72UAxV3bmwGHSNlApUQ61gIFygS&usg=AOvVaw04wYtKXRW77347J0gPTPhh,4.3,,088485 27796,"TC 97, 1356-4, Aakkulam, Thiruvananthapuram, Kerala 695017"
"Connemara Market, Palayam",Market,,4.0,,099954 86825,"Al Ameen Shop, Palayam Market Road, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695034"
1983 Cricket Store,Cricket shop,/url?q=http://www.1983abodeofcricket.com/&opi=79508299&sa=U&ved=0ahUKEwicvJOohr2UAxXnSGcHHZfhDdAQ61gIFygS&usg=AOvVaw3HQhx0YLKWSc8N9-2_F_KK,4.7,,098468 35999,"First Floor, Neduvaccattu Building, Pipeline Rd, behind Windsor Rajadhani Hotel, Kowdiar, Thiruvananthapuram, Kerala 695003"
Renas Export Surplus,Clothing store,,4.2,,,"Near, Palayam mosque, near Sevana medicals, saji footwear, Palayam, Thiruvananthapuram, Kerala 695034"
ONBOARD,Clothing store,,3.8,,075590 31899,"OPP:BHARAT PETROLEUM PUMP, Kailash Nagar, PATTOM, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
INTUNE,Outlet mall,/url?q=https://www.shoppersstop.com/INTUNE&opi=79508299&sa=U&ved=0ahUKEwjbm_uWhr2UAxW7SGcHHY2XOZoQ61gIFygS&usg=AOvVaw0EvQh_hax81Vzk23HfH-z9,4.8,,079077 16153,"Major Archbishop House, Ed Heights, Junction, LIC E Ln, opp. St Marys Malankara Building Complex, Pattom, Thiruvananthapuram, Kerala 695004"
TRAVEL STORE,Bag shop,,3.0,,,"opp. Kedaram Complex, NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Red Cotton by Geosam,Window treatment store,/url?q=http://www.redcotton.in/&opi=79508299&sa=U&ved=0ahUKEwit19avhr2UAxX5T2wGHa2WH50Q61gIFygS&usg=AOvVaw1mLcyKdvOkzZQVNG4JlL0k,4.9,,098955 44445,"Kesavadasapuram-Ulloor Rd, near FCI, above Pepperfry.com, Aiswarya Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
ANSONS,Cosmetics store,,4.2,,0471 232 7010,"Central Plaza, CV Raman Road, Nandavanam, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Welgate Lifestyle,Organic shop,/url?q=https://welgatelifestyle.com/&opi=79508299&sa=U&ved=0ahUKEwj3ws_zhb2UAxWMT2wGHSakIqkQ61gIFSgQ&usg=AOvVaw0SGJuPnXkPRk7xj1VB-hAW,4.3,,095392 25555,"Pattom - Kowdiar Rd, Kuravankonam, Thiruvananthapuram, Kerala 695003"
Rural Beads- The GI Tagged Store,Outlet mall,/url?q=https://www.ruralbeads.com/&opi=79508299&sa=U&ved=0ahUKEwia2uK6g72UAxXlaHADHbl9MxMQ61gIFygS&usg=AOvVaw1Q8MS-cJa9jcSZ3OGlyJAG,4.9,,097784 69670,"Ammini Towers, All India Radio Rd, opp. Janayugom, DPI, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Superdry Trivandrum,Clothing store,/url?q=http://www.superdry.in/&opi=79508299&sa=U&ved=0ahUKEwipocmGib2UAxW8UGcHHWEDNioQ61gIEigN&usg=AOvVaw2qEJdFaTNprEtr0IVo_86y,4.3,,,"GV8X+47X, LULU MALL,GROUND FLOOR,ANAYARA POST, Akkulam Bridge, near Tasva, Kochuveli, Thiruvananthapuram, Kerala 695029"
Ali Shopping Mall,Shopping mall,,4.0,,099956 53571,"JV9X+PJJ, Opposite Town Masjid, Pothencode, Thiruvananthapuram, Keezhthonnakkal, Kerala 695584"
Kunnil Hypermarket,Hypermarket,/url?q=http://www.kunnilhypermarket.com/&opi=79508299&sa=U&ved=0ahUKEwjw_vmWib2UAxXeR2wGHdK4AesQ61gIFygS&usg=AOvVaw03ns2Dbpn4SCKx30yp7u6u,4.1,,0471 259 0370,"Kunnil Heights, NH 47, Bypass Road, near Infosys Campus, Kulathoor, Thiruvananthapuram, Kerala 695583"
Ramachandran Thirumala,Shopping mall,/url?q=https://www.ramachandrantextiles.com/&opi=79508299&sa=U&ved=0ahUKEwjc_KqUib2UAxWKTmwGHWoAKi4Q61gIFSgQ&usg=AOvVaw3C1IHeF4QdfIeLa7JAEPNh,4.7,,088930 99999,"Block no 50, Thirumala, Thiruvananthapuram, Kerala 695006"
