business_name,category,website,google_rating,review_count,phone,address
Ramachandran Textiles,Clothing store,/url?q=http://www.ramachandrantextiles.com/pazhavangadi/&opi=79508299&sa=U&ved=0ahUKEwjF6ay7_LyUAxUubmwGHSnFJxMQ61gIFSgQ&usg=AOvVaw1eL5zGi_81k_G-B0KkoBEu,4.0,,088930 99999,"Pazhavangadi St, East Fort, Padma Nagar, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
Fashion Factory,Clothing store,/url?q=https://location.reliancefashionfactorystores.com/fashion-factory-ff-trivendrum-heena-clothing-stores-kowdiar-thiruvananthapuram-286945/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjqz7-8_LyUAxVBcWwGHV6mEmAQ61gIFygS&usg=AOvVaw3hv4fcHuoBUV1jiMgmCZf0,4.0,,1800 891 0001,"Heera Highlife Mall, Keston Rd, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003"
Variety Mall,Jewelry store,/url?q=http://www.varietymall.in/&opi=79508299&sa=U&ved=0ahUKEwiWpNm9_LyUAxWuUWwGHacACjcQ61gIFSgQ&usg=AOvVaw2l-EOWJPeYSRs2mu_bVkA7,4.1,,0471 247 6896,"General Hospital Rd, Palayam, Thiruvananthapuram, Kerala 695001"
Reliance SMART Bazaar,Hypermarket,/url?q=https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-pazhavangadi-thiruvananthapuram-303348/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjC_-2-_LyUAxWbaHADHaTQA9oQ61gIFygS&usg=AOvVaw3nCSLB7l8yZ6fue8PPbyxj,3.5,,1800 891 0001,"Ravi Arcade, Malabar Castle, Mahatma Gandhi Rd, opposite Malabar Gold, Pazhavangadi, Chalai Bazaar, Chalai, Thiruvananthapuram, Kerala 695036"
Style PLUS,Department store,/url?q=https://www.styleplus.co.in/index.php&opi=79508299&sa=U&ved=0ahUKEwjq8IfA_LyUAxWncmwGHbhMBZUQ61gIFygS&usg=AOvVaw1G8_t2wnl5nHqCp4QCGx6p,4.2,,094951 10400,"Keston road, Near, Devaswom Board Jct, Kowdiar, Thiruvananthapuram, Kerala 695003"
LuLu Fashion Store,Clothing store,/url?q=https://thiruvananthapuram.lulumall.in/shop/lulu-fashion-store/&opi=79508299&sa=U&ved=0ahUKEwiI6ZjB_LyUAxW3SGwGHRcMNDgQ61gIFSgQ&usg=AOvVaw1HLUbqsvwTX-XcKc7k9M3R,3.4,,0471 277 7788,"First Floor, LuLu Mall, Kochuveli, Thiruvananthapuram, Kerala 695029"
RETAIL.ROAD EXPORT SURPLUS,Outlet store,,4.2,,099950 81048,"Andlee tower, opposite Asiatic Business Center, near axis bank, Kulathoor, Kazhakkoottam, Thiruvananthapuram, Kerala 695581"
LuLu Hypermarket Thiruvananthapuram,Hypermarket,/url?q=https://thiruvananthapuram.lulumall.in/shop/lulu-hypermarket/&opi=79508299&sa=U&ved=0ahUKEwjYzIzq_LyUAxV94DgGHSqQCAAQ61gIFygS&usg=AOvVaw2zfXUeKCRXOwYMaSm0eN31,4.5,,0471 277 7777,"Unit No. l 02, LuLu Mall, Anayara, Thiruvananthapuram, Kerala 695029"
We Store Trivandrum,Cell phone store,,4.8,,,"TC 95/469 (2, Sinduhu Tower, Poonthi Rd, PO, Kumarapuram, Thiruvananthapuram, Kerala 695029"
City Stores,Supermarket,,4.3,,,"Panjapura Junction, Nandavanam, Palayam, Thiruvananthapuram, Kerala 695033"
"Bean Town, The Pop-Up Store, Trivandrum",Outlet mall,/url?q=https://www.beantown.in/&opi=79508299&sa=U&ved=0ahUKEwiw8pC2_LyUAxVma2wGHZPPFRMQ61gIugQoEQ&usg=AOvVaw3YLNGJeUDbstHFiOA_mbY5,5.0,,062383 57355,"Junction, next to Ramraj, Pattom, Thiruvananthapuram, Kerala 695004"
Mall of Travancore,Shopping mall,/url?q=http://www.malloftravancore.com/&opi=79508299&sa=U&ved=0ahUKEwjPj9uD_byUAxU_-jgGHRS_A-UQ61gIFygS&usg=AOvVaw2vdZW6cnSsrv46OiZE1sT4,4.3,,0471 424 9916,"Int'l Airport Rd, near Ananthapuri Hospital, Eanchakkal, Thiruvananthapuram, Kerala 695024"
Babu Store Wholesale and Retail,Grocery store,,3.8,,0471 245 7922,"28, Ganga Nagar, Attakulangara, Thiruvananthapuram, Kerala 695009"
Max,Shopping mall,/url?q=https://stores.maxfashion.in/max-pulimoodu-shopping-centre-pulimoodu-thiruvananthapuram-281900/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjy-Oiv_byUAxWmn2MGHf6NOaEQ61gIFygS&usg=AOvVaw04QvU0PG1kV5cNnhuP0IlD,4.1,,086063 85656,"1st Floor, Qrs Square, 25, Mahatma Gandhi Rd, Puthenchanthai, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Family Shopping Centre,Grocery store,,3.8,,098957 58262,"G.P.O, Commercial Complex, Ambujavilasam Rd, near Bana Sahib, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Kerala 695035"
EasyBuy,Clothing store,/url?q=https://www.easybuyindia.com/%3Futm_source%3Dstore_locator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwii2J7V_byUAxXxcGwGHaRYNPgQ61gIFygS&usg=AOvVaw18yoIQZe7Da6UYBZoodOGk,4.9,,1800 202 4454,"Rd Malabar Commercial Plaza, 2nd Flr, Mall of Travancore, near International Airport Road, Chacka, Thiruvananthapuram, Kerala 695024"
Chellam Umbrella Mart,Shopping mall,,4.1,,098471 01309,"Sree Renga Towers, Mahatma Gandhi Rd, Pazhavangadi, Thiruvananthapuram, Kerala 695036"
Jayalakshmi Silks,Clothing store,/url?q=http://www.jayalakshmisilks.com/&opi=79508299&sa=U&ved=0ahUKEwjc5-Tp_byUAxU8SWwGHToRAqkQ61gIESgM&usg=AOvVaw3D6LmwPq9wPQjz2f-Pr7kC,4.0,,,"Mahatma Gandhi Rd, Overbridge, Vanchiyoor, Thiruvananthapuram, Kerala 695001"
Derik Mart Apparels (Thiruvananthapuram),Clothing store,/url?q=http://www.derikmart.com/&opi=79508299&sa=U&ved=0ahUKEwiC77P2_byUAxUIb2wGHUc0MO0Q61gIFygS&usg=AOvVaw34gyNYF6yAkeSe4U6tTu0v,3.4,,0471 230 5730,"NH 66, NH47, PMG Rd, near Lourde Church, Palayam, Thiruvananthapuram, Kerala 695033"
