business_name,category,website,google_rating,review_count,phone,address
MAHASREEVARI FOOD INDUSTRIES PRIVATE LIMITED,Food manufacturer,/url?q=https://www.madhuramindia.com/&opi=79508299&sa=U&ved=0ahUKEwjCtsG63ryUAxUkV2wGHf_wMXYQ61gIFygS&usg=AOvVaw1rxzy6Sa11p3gS8qcWCU_b,5.0,,094477 24525,"Titanium, Plot no :42 INDUSTRIAL DEVELOPMENT AREA, P.O, Kochuveli, Thiruvananthapuram, Kerala 695021"
Dr. FOOD NUTRI INDUSTRIES,Food Processing Company,/url?q=http://www.drfoodnutri.com/&opi=79508299&sa=U&ved=0ahUKEwj13tu73ryUAxWOSWwGHXOqKDcQ61gIEygO&usg=AOvVaw28H2ymZfH95y8YFqgZrRdO,4.9,,070344 85000,"Kochuveli Industrial Area, Veli, Thiruvananthapuram, Kerala 695021"
The India Cements Ltd,Cement Manufacturer,/url?q=https://www.indiacements.co.in/&opi=79508299&sa=U&ved=0ahUKEwi-5e283ryUAxXgWHADHS91EA8Q61gIFCgP&usg=AOvVaw3GIc-w935WAPPuXlDoZ0oz,5.0,,0471 405 8800,"GW8X+77Q, Plammoodu, Thiruvananthapuram, Kerala 695003"
