business_name,category,website,google_rating,review_count,phone,address
AM Customer Service Point,Government office,,5.0,,097464 43143,"Vanchiyoor, Vanjiyoor, Thiruvananthapuram, Kerala 695035"
My Secretary Services,Professional organizer,/url?q=https://www.mysecretary.services/&opi=79508299&sa=U&ved=0ahUKEwis-b2A3ryUAxWOaHADHaMdDUIQ61gIFSgQ&usg=AOvVaw2W2gGCwLKLHywwPBUbKKGm,5.0,,092070 10500,"TC1/711(3, SRA 107, Thiruvananthapuram, Kerala 695582"
"Trinity Solutions- Sony Authorized Service Center, Trivandrum",Electronics repair shop,/url?q=http://trinitytvm.in/&opi=79508299&sa=U&ved=0ahUKEwi41saB3ryUAxUdV2wGHe-UMfUQ61gIFygS&usg=AOvVaw2UgLrWRwsqu_HUP_s5fD0e,3.4,,0471 401 7117,"TC-3/121-10, opp. M.G. COLLEGE, KESAVADASAPURAM, Pattom, Thiruvananthapuram, Kerala 695004"
