business_name,category,website,google_rating,review_count,phone,address
Capital house keeping service,House cleaning service,/url?q=http://capitalhousekeeping.in/&opi=79508299&sa=U&ved=0ahUKEwi2nLDV3ryUAxUGSGcHHcyiB8EQ61gIFygS&usg=AOvVaw1-k6suHyk2wzqmQAcuNfyw,4.9,,096334 14558,"GNRA 15 ,CIT road,melarannoor,karamana po GNRA 15 CIT road, po, Melarannoor, Karamana, Thiruvananthapuram, Kerala 695002"
AM Customer Service Point,Government office,,5.0,,097464 43143,"Vanchiyoor, Vanjiyoor, Thiruvananthapuram, Kerala 695035"
KERALA UNIVERSITY TRANSCRIPT/ATTESTATION SERVICES/ABS TRANSCRIPT/ABSEDUCATIONSERVICE,Transcription service,/url?q=https://www.abseducationservice.com/&opi=79508299&sa=U&ved=0ahUKEwjM3d3X3ryUAxUvTWwGHTx6HH4Q61gIFigR&usg=AOvVaw1BVCVpQ7sSdLaj_EaqqZ8L,5.0,,085476 31770,"GW2W+JFJ, opp. hassan marikkar hall, University of Kerala Senate House Campus, Kunnukuzhy, Thiruvananthapuram, Kerala 695035"
