business_name,category,website,google_rating,review_count,phone,address
"Worldstar Enterprises, Trivandrum jobs",Unemployment office,/url?q=http://www.fb.me/jobworldstar.tvm&opi=79508299&sa=U&ved=0ahUKEwjqkZSj_ryUAxUWRmwGHYfYAWYQ61gIFygS&usg=AOvVaw26iBDxf7_0ki4ob_u63MQ6,4.4,,090206 09290,"SS Kovil Rd, opp. Chemist Bhavan, near Ayyappan Kovil, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
"Career Home | Placement Service, Facility Management and Job consultancy",Employment consultant,/url?q=http://careerhometvm.com/&opi=79508299&sa=U&ved=0ahUKEwjj8rWk_ryUAxUfXmwGHd0sIS8Q61gIFygS&usg=AOvVaw1hQY7YG40puwar-het3kCR,4.7,,095440 97966,"RS Complex, opp. LIC LIC Junction, Pattom, Thiruvananthapuram, Kerala 695004"
RCD HR SOLUTIONS,Employment consultant,,4.8,,099469 41122,"Akkulam, Ulloor - Akkulam Rd, Thiruvananthapuram, Kerala 695011"
