business_name,category,website,google_rating,review_count,phone,address
KERALA UNIVERSITY TRANSCRIPT/ATTESTATION SERVICES/ABS TRANSCRIPT/ABSEDUCATIONSERVICE,Transcription service,/url?q=https://www.abseducationservice.com/&opi=79508299&sa=U&ved=0ahUKEwjBheXK_ryUAxW3X2wGHbS7K3sQ61gIFigR&usg=AOvVaw1lGpVzsFHLl2M085ZkIIFv,5.0,,085476 31770,"GW2W+JFJ, opp. hassan marikkar hall, University of Kerala Senate House Campus, Kunnukuzhy, Thiruvananthapuram, Kerala 695035"
My Secretary Services,Professional organizer,/url?q=https://www.mysecretary.services/&opi=79508299&sa=U&ved=0ahUKEwj5w4zM_ryUAxWaUGcHHWQULI4Q61gIFSgQ&usg=AOvVaw1Fp0zmcQsjBP1LlPflxFZi,5.0,,092070 10500,"TC1/711(3, SRA 107, Thiruvananthapuram, Kerala 695582"
Lenovo Service Center - CTDI Globle Infocom,Computer service,,4.3,,080 4824 7457,"Mahadavadeepam Building, near Optical World, NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
