business_name,category,website,google_rating,review_count,phone,address
Supreme Bakers,Bakery and Cake Shop,/url?q=http://www.supremebakers.in/&opi=79508299&sa=U&ved=0ahUKEwimtbaFvLyUAxXE4jgGHUtENKsQ61gIHSgS&usg=AOvVaw20qHP1r2wPAyou232CkV-W,4.3,,0471 272 3322,"Ground Floor Musaliar Buildings, Pattom - Kowdiar Rd, Kuravankonam, Thiruvananthapuram, Kerala 695003"
Ambrosia ( a classic bakehouse),Bakery and Cake Shop,/url?q=https://theambrosia.com/&opi=79508299&sa=U&ved=0ahUKEwj38L-GvLyUAxVMzjgGHZ3kM6UQ61gIHCgS&usg=AOvVaw1z2g98MLWdOKqJ4payhMR0,4.0,,0471 233 2211,"Krishna Building, Junction Road, Oottukuzhy, Thycaud, Thiruvananthapuram, Kerala 695001"
The Muffin House,Bakery and Cake Shop,/url?q=http://www.themuffinhouse.in/&opi=79508299&sa=U&ved=0ahUKEwjD38-HvLyUAxWR1DgGHc_FNzQQ61gIHSgS&usg=AOvVaw35qmAaw0V879I5i30o4GRT,4.3,,095448 89000,"Muffin Towers, Kovalam Rd, near Ambalathara UP School, Ambalathara, Thiruvananthapuram, Kerala 695026"
