business_name,category,website,google_rating,review_count,phone,address
Villa Maya,Fine dining restaurant,/url?q=http://www.villamaya.in/&opi=79508299&sa=U&ved=0ahUKEwiUjv7T3LyUAxVVbGwGHZIFD8YQ61gIGCgS&usg=AOvVaw1IhRvuFffANv762LlgTf-2,4.5,,0471 257 8901,"MUTHOOT SKY CHEF, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Aryaas Park Veg Restaurant,South Indian restaurant,,4.0,,090728 63449,"FXQ2+634, Theatre Station Road, near Apollo Dimora & Sreekumar, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
Restaurant Chef Pillai Trivandrum,Indian restaurant,/url?q=http://chefpillai.com/&opi=79508299&sa=U&ved=0ahUKEwinpZvN3LyUAxUvWnADHUPUAncQ61gI7AMoEQ&usg=AOvVaw1w7wPpoZko-j1pzph9IB4o,4.5,,090729 39090,"Panachamoottil square, near Bypass Road, Enchakkal, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Cafe Jade - All Day Dining (24X7),Coffee shop,/url?q=http://www.hycinthhotels.com/&opi=79508299&sa=U&ved=0ahUKEwjVw7vS3LyUAxXub2wGHWaVBwMQ61gIHSgS&usg=AOvVaw2rSTlZFxShVgriKpLc0iAQ,4.6,,0471 255 2999,"Manorama Office, Hycinth Hotels, Manorama Rd, near Malayala Manorama, Thampanoor, Thiruvananthapuram, Kerala 695001"
Imperial Kitchen Venpalavattom,Eclectic restaurant,/url?q=http://www.imperial-kitchen.in/&opi=79508299&sa=U&ved=0ahUKEwjzmNfv3LyUAxVYb2wGHRwgOdcQ61gIFigR&usg=AOvVaw0H24S40APtid3rE3ZdLG_r,4.4,,077361 61222,"GW63+4VM Favourite Homes, Ground Floor, Grand Avenue, Pettah - Venpalavattom Rd, Venpalavattom, Thiruvananthapuram, Kerala 695029"
The Olive Restaurant,Arab restaurant,/url?q=http://www.theoliverestaurants.com/&opi=79508299&sa=U&ved=0ahUKEwinpZvN3LyUAxUvWnADHUPUAncQ61gI6gcoDw&usg=AOvVaw0chr9LlzZ2h_RJPfEEM_EA,4.1,,090205 45454,"O-1, Jawahar Nagar Rd, Bhagavathy Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003"
Zam Zam Restaurant,Arab restaurant,/url?q=http://www.zamzamrestaurants.com/&opi=79508299&sa=U&ved=0ahUKEwiE8JHu3LyUAxV1bGwGHeiiEYoQ61gIGygQ&usg=AOvVaw0PVKASAokXWxShmaYpDjRL,4.1,,098099 98080,"opp. MLA Hostel, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695034"
Azad Restaurant at Over Bridge,Non Vegetarian Restaurant,/url?q=http://www.azadazad.com/&opi=79508299&sa=U&ved=0ahUKEwinpZvN3LyUAxUvWnADHUPUAncQ61gIkQcoDQ&usg=AOvVaw010-3OaQPTsqDqNPdyumcx,3.8,,097458 97450,"Overbridge, Mele, Pazhavangadi, Thiruvananthapuram, Kerala 695036"
Pankayam,Seafood restaurant,/url?q=http://pankayamindia.com/&opi=79508299&sa=U&ved=0ahUKEwjqqZuO3byUAxUKbmwGHUCbGscQ61gIHSgS&usg=AOvVaw09po41ihNDbJv9Y6t65qCy,4.0,,094950 29029,"JUST AFTER UNDERPASS, Bakery Flyover, Nandavanam, Palayam, Thiruvananthapuram, Kerala 695033"
Longtime,Fine dining restaurant,/url?q=https://www.facebook.com/pg/longtimeindia&opi=79508299&sa=U&ved=0ahUKEwidt7GP3byUAxVAUGcHHUkkJncQ61gIGygQ&usg=AOvVaw1wuqp0RiYNG5wL7r_2gi0d,4.3,,098958 05888,"A 23, Jawahar Nagar, Sasthamangalam, Thiruvananthapuram, Kerala 695003"
