business_name,category,website,google_rating,review_count,phone,address
Sree Uthradom Thirunal (SUT) Hospital,Private hospital,/url?q=https://sutpattom.com/&opi=79508299&sa=U&ved=0ahUKEwjdsqDT3LyUAxWkTGwGHZpGEe4Q61gIFSgQ&usg=AOvVaw1fDNdz2X0sVnIg9yIg1lrS,4.8,,0471 407 7777,"Near, Palace View Rd, Vrindavan Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
India Hospital,General hospital,/url?q=http://www.indiahospitalkerala.com/&opi=79508299&sa=U&ved=0ahUKEwjf7t7M3LyUAxWJV2wGHdRDOO0Q61gI1AEoEQ&usg=AOvVaw3ZPUM-kHKf1KRSqkYM71AI,4.5,,093878 04668,"Ems Rd, near Subramonia temple, Mele, Thampanoor, Thiruvananthapuram, Kerala 695001"
Ananthapuri Hospitals and Research Institute (AHRI),Private hospital,/url?q=http://www.ananthapurihospitals.com/&opi=79508299&sa=U&ved=0ahUKEwicrfrZ3LyUAxWCWXADHfWcA1UQ61gIFygS&usg=AOvVaw2uogxuN5e1Ux5sRQXZsovY,4.1,,0471 660 9900,"NH bypass 66, Airport Rd, near Courtyard Garden, Chackai, Thiruvananthapuram, Kerala 695024"
