business_name,category,website,google_rating,review_count,phone,address
MACS Edge | Company Registration in Thiruvananthapuram | Startup Registration | GST Registration | Trademark | Accounting,Business management consultant,/url?q=http://www.macsedge.com/&opi=79508299&sa=U&ved=0ahUKEwiniNXWz7yUAxWHyDgGHdI8LOAQ61gIFygS&usg=AOvVaw1z1NKzEQyFaR82UY-SrOSK,4.9,,099953 76233,"Arjuns Arcade, 1st Floor SCNRA B, Lane, Kowdiar, Thiruvananthapuram, Kerala 695003"
Kerala Business Group,Business management consultant,/url?q=http://www.kbgindia.in/&opi=79508299&sa=U&ved=0ahUKEwjJy_DXz7yUAxVx3jgGHfOAOwUQ61gIFygS&usg=AOvVaw2EvEX4VrrNhXesM9SW3nXo,4.8,,085939 39336,"3rd floor, Thattil Buildings, Chirakkulam Rd, opp. Sree Padmam Pharma, Statue, Palayam, Thiruvananthapuram, Kerala 695001"
BIZPOLE TRIVANDRUM,Business management consultant,,5.0,,077363 16594,"SANTHI NIVAS, KARAMANA-KILLIPALAM ROAD, near IDBI BANK, PNRA 40, PO, Karamana, Thiruvananthapuram, Kerala 695002"
ECS Business Solutions PVT LTD,Software company,/url?q=http://ecsfin.com/&opi=79508299&sa=U&ved=0ahUKEwjSz5Taz7yUAxW23TgGHQ8uIuoQ61gIFygS&usg=AOvVaw1dPERo986B2Ahxr4yorhhB,4.6,,0471 231 7317,"Daniel Avenue, opp. Police Headquarters, near paramount Studio, Nandavanam, Vellayambalam, Thiruvananthapuram, Kerala 695033"
Btalks Innovations Private Limited,Media house,,4.0,,098462 16050,"Second Floor, Gouri Plaza Union bank of India & KSFE Building Chenthitta, Valiyasalai, Thiruvananthapuram, Kerala 695036"
