business_name,category,website,google_rating,review_count,phone,address
Technopark Trivandrum,Technology park,,4.5,,0471 270 0222,"Park Centre, Technopark Campus, Thiruvananthapuram, Kerala 695581"
Scipy Technologies Pvt Ltd,Software company,/url?q=https://www.scipytechnologies.com/&opi=79508299&sa=U&ved=0ahUKEwjgyJiy_LyUAxXra2wGHWLnAeMQ61gIFygS&usg=AOvVaw0sPTACIoeXzyTJQLM2SGbD,4.9,,073562 38071,"First Floor, Crown Plaza, Kesavadasapuram, 47, National Highway, near St. Mary's School, Pattom, Thiruvananthapuram, Kerala 695004"
Vinvish Technologies Pvt. Ltd.,Electronics Company,/url?q=https://vinvish.com/&opi=79508299&sa=U&ved=0ahUKEwjUgKuz_LyUAxU6RWcHHdS4BnUQ61gIFygS&usg=AOvVaw3Ah3DznMBnxLmM6AMJOTIU,4.4,,0471 406 1938,"C-16, Thejaswini, Technopark Rd, Technopark Campus, Thiruvananthapuram, Kerala 695581"
